"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG0902533",2012,"ECP281",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902535",2012,"ECP281","MEE321","MEE351","PRE311",,,,,,,1,0,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902540",2012,"ECP281","CVE311","EEE317","PRE311",,,,,,,1,1,0,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902542",2012,"EEE317",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902543",2012,"CVE311","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902545",2012,"CVE311","MEE361",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902549",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902550",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902551",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902553",2012,"CVE311","EEE317","MEE361",,,,,,,,1,0,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902554",2012,"EEE211","EEE317","MEE361",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902555",2012,"ECP281","EEE211","EMA281","MEE211","EEE317","EMA381","MEE321",,,,0,0,0,0,0,1,1,1,1,1,,1,0,"0"
"ENG0902556",2012,"MEE361",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902557",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902560",2012,"ECP281","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902561",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902562",2012,"ECP281","EMA281","ENS211","ELA201","MEE311","MEE321","MEE351","MEE361",,,0,0,0,0,0,1,1,1,1,1,,1,0,"0"
"ENG0902563",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902565",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902566",2012,"ECP281","CVE311","EEE317",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902567",2012,"EMA281","EEE317","MEE321","MEE351","PRE311",,,,,,0,0,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902568",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902570",2012,"EEE317","EMA381","PRE311",,,,,,,,1,1,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0902571",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902572",2012,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902573",2012,"PRE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902575",2012,"CVE311","EMA381","MEE321","PRE311",,,,,,,0,1,1,1,0,1,1,1,1,1,,1,0,"0"
"ENG0902577",2012,"EEE317","MEE321","PRE311",,,,,,,,1,1,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0902580",2012,"ECP281","CVE311","EEE317",,,,,,,,1,1,1,1,1,1,1,1,1,0,,1,0,"0"
