COURSE_CODE,SESSION,MATNO,SCORE
MEE372,2018,ENG1604241,64
MEE372,2018,ENG1609284,31
MEE372,2018,ENG1604275,45
MEE372,2018,ENG1604211,28
MEE372,2018,ENG1709339,78
MEE372,2018,ENG1604250,62
MEE372,2018,ENG1604287,71
MEE372,2018,ENG1604216,45
MEE372,2018,ENG1708916,76
MEE372,2018,ENG1306689,24
MEE372,2018,ENG1607457,45
MEE372,2018,ENG1604268,53
MEE372,2018,ENG1503925,30
MEE372,2018,ENG1503923,30
CHM122,2018,ENG1303691,58
MEE512,2018,ENG1403780,71
MEE372,2018,ENG1403790,64
MEE372,2018,ENG1403799,45
MEE522,2018,ENG1203137,40
ELA401,2016,ENG1303639,60
MEE572,2018,ENG1403733,66
MEE522,2018,ENG1403733,58
PRE572,2018,ENG1407356,75
MEE501,2018,ENG1403809,71
MEE502,2018,ENG1403809,71
ELA202,2018,ENG1707835,67
,,ENG,
MTH110,2017,ENG1704079,66
MTH112,2017,ENG1704079,62
PHY111,2017,ENG1704079,57
PHY113,2017,ENG1704079,50
CHM111,2017,ENG1704079,73
CHM113,2017,ENG1704079,62
GST111,2017,ENG1704079,68
GST112,2017,ENG1704079,46
MTH125,2017,ENG1704079,56
MTH123,2017,ENG1704079,82
PHY109,2017,ENG1704079,62
PHY124,2017,ENG1704079,34
CHM122,2017,ENG1704079,66
CHM124,2017,ENG1704079,68
GST121,2017,ENG1704079,55
GST122,2017,ENG1704079,47
GST123,2017,ENG1704079,68
ELA301,2018,ENG1604268,60
ELA302,2018,ENG1604268,59
CHM122,2018,ENG1704308,45
PHY109,2018,ENG1805402,56
PHY109,2018,ENG1704321,60
PRE572,2018,ENG1303619,50
MEE342,2015,ENG1002540,40
ELA302,2018,ENG1604281,55
ELA302,2018,ENG1604247,58
ELA302,2018,ENG1604255,58
ELA302,2018,ENG1604272,56
CHM122,2018,ENG1708913,45
CHM122,2018,ENG1604278,45
PHY113,2018,ENG1704320,50
CHM122,2018,ENG1704344,48
CHM122,2018,ENG1704276,45
CHM122,2018,ENG1708897,45
CHM122,2018,ENG1707716,64
PHY124,2018,ENG1704273,66
ELA401,2018,ENG1503941,72
ELA202,2018,ENG1704337,45
CHM122,2018,ENG1707713,50
ENS211,2018,ENG1704332,45
CHE222,2018,ENG1707206,60
ELA202,2018,ENG1705305,57
ELA202,2018,ENG1704305,57
ELA401,2018,ENG1604295,62
ELA202,2018,ENG1704280,65
ELA202,2018,ENG1704353,60
ELA202,2018,ENG1704357,62
ELA202,2018,ENG1704259,60
ELA202,2018,ENG1704256,57
EMA282,2011,ENG1002540,50
MEE222,2011,ENG1002540,49
GST111,2010,ENG1002540,40
GST112,2010,ENG1002540,34
GST121,2010,ENG1002540,40
CVE211,2018,ENG1707947,40
CVE211,2018,ENG1707953,57
ENS211,2018,ENG1707953,45
MEE221,2018,ENG1707953,45
ELA201,2018,ENG1805339,62
ELA201,2018,ENG1805341,50
ENS211,2018,ENG1805342,62
ELA201,2018,ENG1805342,60
ELA201,2018,ENG1805367,62
ENS211,2018,ENG1805414,74
ELA201,2018,ENG1805414,63
ECP281,2018,ENG1805426,86
ENS211,2018,ENG1805426,54
ELA201,2018,ENG1805426,69
MEE221,2018,ENG1805429,49
ELA201,2018,ENG1805429,62
ENS211,2018,ENG1805433,54
ELA201,2018,ENG1805433,62
ENS211,2018,ENG1805435,22
ELA201,2018,ENG1805435,59
ENS211,2018,ENG1805452,45
ELA201,2018,ENG1805452,58
MEE221,2018,ENG1805457,72
ELA201,2018,ENG1805457,62
ENS211,2018,ENG1810523,48
MEE221,2018,ENG1810523,17
ELA201,2018,ENG1810523,51
ENS211,2018,ENG1810525,45
ELA201,2018,ENG1810525,50
ENS211,2018,ENG1810526,45
MEE221,2018,ENG1810526,69
ELA201,2018,ENG1810526,60
CVE211,2018,ENG1810688,52
ENS211,2018,ENG1810688,50
MEE221,2018,ENG1810688,58
ELA201,2018,ENG1810688,62
MEE511,2018,ENG1403733,63
MEE571,2018,ENG1403733,60
ELA301,2018,ENG1604247,61
MEE461,2018,ENG1403754,34
EMA281,2018,ENG1403754,34
ELA401,2018,ENG1403800,61
MEE211,2018,ENG1303667,51
MEE211,2018,ENG1503919,61
MEE211,2018,ENG1503928,45
MEE211,2018,ENG1507644,64
MEE211,2018,ENG1508359,75
MEE211,2018,ENG1508537,65
MEE211,2018,ENG1604209,55
MEE211,2018,ENG1604214,47
MEE211,2018,ENG1604218,50
MEE211,2018,ENG1604220,22
MEE211,2018,ENG1604221,78
MEE211,2018,ENG1604222,46
MEE211,2018,ENG1604226,73
MEE211,2018,ENG1604227,54
MEE211,2018,ENG1604228,51
MEE211,2018,ENG1604229,58
MEE211,2018,ENG1604232,59
MEE211,2018,ENG1604237,74
MEE211,2018,ENG1604240,71
MEE211,2018,ENG1604241,62
MEE211,2018,ENG1604249,47
MEE211,2018,ENG1604251,61
MEE211,2018,ENG1604253,58
MEE211,2018,ENG1604255,58
MEE211,2018,ENG1604256,71
MEE211,2018,ENG1604266,78
MEE211,2018,ENG1604268,68
MEE211,2018,ENG1604269,72
MEE211,2018,ENG1604271,82
MEE211,2018,ENG1604272,82
MEE211,2018,ENG1604274,56
MEE211,2018,ENG1604276,58
MEE211,2018,ENG1604278,68
MEE211,2018,ENG1604279,65
MEE211,2018,ENG1604280,56
MEE211,2018,ENG1604283,66
MEE211,2018,ENG1604284,74
MEE211,2018,ENG1604285,66
MEE211,2018,ENG1604286,57
MEE211,2018,ENG1604288,70
MEE211,2018,ENG1604292,70
MEE211,2018,ENG1604348,67
MEE211,2018,ENG1604420,55
MEE211,2018,ENG1606990,57
MEE211,2018,ENG1607457,46
MEE211,2018,ENG1607674,45
MEE211,2018,ENG1607771,86
MEE211,2018,ENG1607891,45
MEE211,2018,ENG1607960,62
MEE211,2018,ENG1608890,45
MEE211,2018,ENG1608891,48
MEE211,2018,ENG1608892,30
MEE211,2018,ENG1609165,64
MEE211,2018,ENG1609284,71
MEE211,2018,ENG1704079,65
MEE211,2018,ENG1704141,53
